EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
1874.273864669,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.29148842,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.299495451,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.313601451,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.329192893,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.339182067,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.349129241,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1874.36012407,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.370141536,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.380118168,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.390118717,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.401185587,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.41117447,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.421105894,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.43121115,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.442476643,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.452202445,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.462182578,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.472135586,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.483170956,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.49317938,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.50317847,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.513160936,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.523150693,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.534151064,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.54414753,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.55415187,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.564174877,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.57515104,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.585159464,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1874.595151554,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
