MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
3415077314251,3415075314251,3415.077314251,3415.075314251,-0.153,0.045,0.988,0.183,11.658,0.977
3415097003281,3415095003281,3415.097003281,3415.095003281,-0.153,0.045,0.988,-1.038,-16.968,1.953
3415106421385,3415104421385,3415.106421385,3415.104421385,-0.153,0.045,0.988,-1.038,-24.597,1.404
3415115114705,3415113114705,3415.115114705,3415.113114705,-0.153,0.045,0.988,-1.038,-31.494,1.16
3415125040011,3415123040011,3415.125040011,3415.123040011,-0.153,0.045,0.988,-1.221,-38.757,1.404
3415136006264,3415134006264,3415.136006264,3415.134006264,-0.153,0.045,0.988,-1.709,-46.875,1.953
3415146034527,3415144034527,3415.146034527,3415.144034527,-0.153,0.045,0.988,-2.014,-52.979,2.319
3415156019625,3415154019625,3415.156019625,3415.154019625,-0.153,0.045,0.988,-2.258,-57.739,2.563
3415165989264,3415163989264,3415.165989264,3415.163989264,-0.153,0.045,0.988,-2.441,-61.768,2.808
3415177071890,3415175071890,3415.17707189,3415.17507189,-0.249,0.046,0.975,-2.625,-64.941,2.991
3415187029571,3415185029571,3415.187029571,3415.185029571,-0.249,0.046,0.975,-2.747,-66.711,3.113
3415197030418,3415195030418,3415.197030418,3415.195030418,-0.249,0.046,0.975,-2.869,-67.261,3.113
3415208052670,3415206052670,3415.20805267,3415.20605267,-0.249,0.046,0.975,-2.808,-66.406,3.052
3415217974185,3415215974185,3415.217974185,3415.215974185,-0.249,0.046,0.975,-2.747,-64.148,2.93
3415228019657,3415226019657,3415.228019657,3415.226019657,-0.249,0.046,0.975,-2.686,-60.913,2.808
3415238021087,3415236021087,3415.238021087,3415.236021087,-0.249,0.046,0.975,-2.563,-56.396,2.563
3415249020881,3415247020881,3415.249020881,3415.247020881,-0.249,0.046,0.975,-2.258,-50.11,2.38
3415258970395,3415256970395,3415.258970395,3415.256970395,-0.249,0.046,0.975,-1.892,-43.274,1.892
3415268985826,3415266985826,3415.268985826,3415.266985826,-0.249,0.046,0.975,-1.526,-35.461,1.526
3415278988423,3415276988423,3415.278988423,3415.276988423,-0.249,0.046,0.975,-1.16,-26.794,1.099
3415290357463,3415288357463,3415.290357463,3415.288357463,-0.249,0.046,0.975,-0.671,-16.357,0.61
3415308033724,3415306033724,3415.308033724,3415.306033724,-0.145,0.045,0.988,0.061,2.014,-0.061
3415318022613,3415316022613,3415.318022613,3415.316022613,-0.145,0.045,0.988,0.488,12.024,-0.671
3415327941211,3415325941211,3415.327941211,3415.325941211,-0.145,0.045,0.988,0.916,21.423,-1.16
3415338017307,3415336017307,3415.338017307,3415.336017307,-0.145,0.045,0.988,1.343,29.846,-1.526
3415348065695,3415346065695,3415.348065695,3415.346065695,-0.145,0.045,0.988,1.709,37.292,-1.831
3415358974199,3415356974199,3415.358974199,3415.356974199,-0.145,0.045,0.988,2.075,44.373,-2.258
3415368987296,3415366987296,3415.368987296,3415.366987296,-0.145,0.045,0.988,2.319,49.316,-2.563
3415378969768,3415376969768,3415.378969768,3415.376969768,-0.145,0.045,0.988,2.38,52.612,-2.747
3415389926688,3415387926688,3415.389926688,3415.387926688,-0.145,0.045,0.988,2.441,54.138,-2.869
3415400114199,3415398114199,3415.400114199,3415.398114199,-0.145,0.045,0.988,2.38,53.589,-2.686
3415410025797,3415408025797,3415.410025797,3415.408025797,-0.145,0.045,0.988,2.258,51.208,-2.686
3415420202809,3415418202809,3415.420202809,3415.418202809,-0.145,0.045,0.988,2.075,47.485,-2.502
3415430120824,3415428120824,3415.430120824,3415.428120824,-0.145,0.045,0.988,1.831,42.603,-2.258
3415441133159,3415439133159,3415.441133159,3415.439133159,-0.071,0.043,0.989,1.526,35.889,-1.709
3415451191464,3415449191464,3415.451191464,3415.449191464,-0.071,0.043,0.989,1.221,28.809,-1.526
3415461056104,3415459056104,3415.461056104,3415.459056104,-0.071,0.043,0.989,0.854,21.179,-1.16
3415471124034,3415469124034,3415.471124034,3415.469124034,-0.071,0.043,0.989,0.549,13.184,-0.732
3415482123828,3415480123828,3415.482123828,3415.480123828,-0.071,0.043,0.989,0.183,5.31,-0.305
3415492128759,3415490128759,3415.492128759,3415.490128759,-0.071,0.043,0.989,-0.061,-2.869,0.0
3415502081773,3415500081773,3415.502081773,3415.500081773,-0.071,0.043,0.989,-0.366,-9.827,0.366
3415512122869,3415510122869,3415.512122869,3415.510122869,-0.071,0.043,0.989,-0.61,-15.93,0.671
3415522143258,3415520143258,3415.522143258,3415.520143258,-0.071,0.043,0.989,-0.854,-20.996,0.916
3415533175135,3415531175135,3415.533175135,3415.531175135,-0.071,0.043,0.989,-1.038,-25.146,1.099
3415543053483,3415541053483,3415.543053483,3415.541053483,-0.071,0.043,0.989,-1.16,-27.405,1.282
3415553127538,3415551127538,3415.553127538,3415.551127538,-0.071,0.043,0.989,-1.221,-28.198,1.343
3415564147457,3415562147457,3415.564147457,3415.562147457,-0.176,0.045,0.991,-1.16,-27.405,1.282
3415574151221,3415572151221,3415.574151221,3415.572151221,-0.176,0.045,0.991,-1.038,-24.719,1.221
3415584141276,3415582141276,3415.584141276,3415.582141276,-0.176,0.045,0.991,-0.916,-20.691,1.038
3415594140956,3415592140956,3415.594140956,3415.592140956,-0.176,0.045,0.991,-0.671,-15.32,0.732
3415604054596,3415602054596,3415.604054596,3415.602054596,-0.176,0.045,0.991,-0.366,-8.911,0.427
3415615055265,3415613055265,3415.615055265,3415.613055265,-0.176,0.045,0.991,0.0,-1.038,0.0
3415625072446,3415623072446,3415.625072446,3415.623072446,-0.176,0.045,0.991,0.244,6.042,-0.305
3415634971502,3415632971502,3415.634971502,3415.632971502,-0.176,0.045,0.991,0.549,12.634,-0.671
3415644983432,3415642983432,3415.644983432,3415.642983432,-0.176,0.045,0.991,0.793,18.25,-0.916
3415656049434,3415654049434,3415.656049434,3415.654049434,-0.176,0.045,0.991,0.977,22.888,-0.916
3415666054364,3415664054364,3415.666054364,3415.664054364,-0.176,0.045,0.991,1.099,25.391,-1.221
3415675959254,3415673959254,3415.675959254,3415.673959254,-0.176,0.045,0.991,1.099,26.062,-1.221
3415687380794,3415685380794,3415.687380794,3415.685380794,-0.144,0.045,0.988,1.038,24.78,-1.221
3415700196193,3415698196193,3415.700196193,3415.698196193,-0.144,0.045,0.988,0.977,21.973,-1.221
3415707041825,3415705041825,3415.707041825,3415.705041825,-0.144,0.045,0.988,0.793,17.639,-1.099
3415716967423,3415714967423,3415.716967423,3415.714967423,-0.144,0.045,0.988,0.549,11.658,-0.854
3415728053549,3415726053549,3415.728053549,3415.726053549,-0.144,0.045,0.988,0.244,3.723,-0.366
3415738053813,3415736053813,3415.738053813,3415.736053813,-0.144,0.045,0.988,-0.061,-4.211,-0.122
3415748051452,3415746051452,3415.748051452,3415.746051452,-0.144,0.045,0.988,-0.427,-12.695,0.244
3415758006799,3415756006799,3415.758006799,3415.756006799,-0.144,0.045,0.988,-0.793,-21.301,0.671
3415769099926,3415767099926,3415.769099926,3415.767099926,-0.144,0.045,0.988,-1.16,-29.602,1.16
3415779075106,3415777075106,3415.779075106,3415.777075106,-0.144,0.045,0.988,-1.526,-38.025,1.648
3415789053204,3415787053204,3415.789053204,3415.787053204,-0.144,0.045,0.988,-1.831,-44.556,1.953
3415799022551,3415797022551,3415.799022551,3415.797022551,-0.144,0.045,0.988,-2.075,-49.988,2.258
3415810047137,3415808047137,3415.810047137,3415.808047137,-0.144,0.045,0.988,-2.319,-54.26,2.502
3415820051484,3415818051484,3415.820051484,3415.818051484,-0.171,0.045,0.99,-2.563,-57.373,2.747
3415830056997,3415828056997,3415.830056997,3415.828056997,-0.171,0.045,0.99,-2.686,-58.411,2.808
3415840047344,3415838047344,3415.840047344,3415.838047344,-0.171,0.045,0.99,-2.625,-57.739,2.747
3415850044108,3415848044108,3415.850044108,3415.848044108,-0.171,0.045,0.99,-2.502,-55.359,2.625
3415861054111,3415859054111,3415.861054111,3415.859054111,-0.171,0.045,0.99,-2.197,-50.598,2.441
3415871138373,3415869138373,3415.871138373,3415.869138373,-0.171,0.045,0.99,-1.953,-44.495,2.197
3415881229344,3415879229344,3415.881229344,3415.879229344,-0.171,0.045,0.99,-1.587,-36.499,1.831
3415892148348,3415890148348,3415.892148348,3415.890148348,-0.171,0.045,0.99,-1.16,-25.94,1.465
3415902243986,3415900243986,3415.902243986,3415.900243986,-0.171,0.045,0.99,-0.671,-15.32,0.732
3415912124084,3415910124084,3415.912124084,3415.910124084,-0.171,0.045,0.99,-0.122,-3.906,0.122
3415923030546,3415921030546,3415.923030546,3415.921030546,-0.171,0.045,0.99,0.305,7.812,-0.427
3415932982102,3415930982102,3415.932982102,3415.930982102,-0.171,0.045,0.99,0.916,20.508,-1.099
3415943026698,3415941026698,3415.943026698,3415.941026698,-0.099,0.044,0.992,1.343,31.372,-1.709
3415954094450,3415952094450,3415.95409445,3415.95209445,-0.099,0.044,0.992,1.77,41.26,-2.197
