MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1874829127074,1874827127074,1874.829127074,1874.827127074,-0.224,0.046,0.976,0.0,0.0,-0.122
1874839117123,1874837117123,1874.839117123,1874.837117123,-0.224,0.046,0.976,0.0,0.0,-0.122
1874849123214,1874847123214,1874.849123214,1874.847123214,-0.224,0.046,0.976,0.0,0.0,-0.122
1874860074585,1874858074585,1874.860074585,1874.858074585,-0.224,0.046,0.976,0.0,0.0,0.0
1874870112467,1874868112467,1874.870112467,1874.868112467,-0.224,0.046,0.976,0.0,0.0,-0.122
1874880124683,1874878124683,1874.880124683,1874.878124683,-0.224,0.046,0.976,0.0,0.0,-0.122
1874890111523,1874888111523,1874.890111523,1874.888111523,-0.224,0.046,0.976,0.0,0.0,-0.122
1874901137852,1874899137852,1874.901137852,1874.899137852,-0.224,0.046,0.976,0.0,0.0,-0.122
1874911123818,1874909123818,1874.911123818,1874.909123818,-0.224,0.046,0.976,0.0,0.0,-0.122
1874921110659,1874919110659,1874.921110659,1874.919110659,-0.224,0.046,0.976,0.0,0.0,-0.122
1874931117916,1874929117916,1874.931117916,1874.929117916,-0.224,0.046,0.976,0.0,0.0,-0.122
1874941108256,1874939108256,1874.941108256,1874.939108256,-0.224,0.046,0.976,0.0,0.0,-0.122
1874952111252,1874950111252,1874.952111252,1874.950111252,-0.224,0.046,0.976,0.0,0.0,-0.122
1874962109468,1874960109468,1874.962109468,1874.960109468,-0.224,0.046,0.976,0.0,0.0,-0.122
1874972107975,1874970107975,1874.972107975,1874.970107975,-0.224,0.046,0.976,0.0,0.0,-0.122
1874983061679,1874981061679,1874.983061679,1874.981061679,-0.224,0.046,0.976,0.0,0.0,-0.122
1874993168685,1874991168685,1874.993168685,1874.991168685,-0.224,0.046,0.976,0.0,0.0,-0.122
1875003111485,1875001111485,1875.003111485,1875.001111485,-0.224,0.046,0.976,0.0,0.0,-0.122
1875013112034,1875011112034,1875.013112034,1875.011112034,-0.224,0.046,0.976,0.0,0.0,-0.122
1875024107738,1875022107738,1875.024107738,1875.022107738,-0.224,0.046,0.976,0.0,0.0,-0.122
1875034101870,1875032101870,1875.03410187,1875.03210187,-0.224,0.046,0.976,0.0,0.0,-0.122
1875044105336,1875042105336,1875.044105336,1875.042105336,-0.224,0.046,0.976,0.0,0.0,-0.122
1875054106177,1875052106177,1875.054106177,1875.052106177,-0.224,0.046,0.976,0.0,0.0,-0.122
1875064107601,1875062107601,1875.064107601,1875.062107601,-0.224,0.046,0.976,0.0,0.0,-0.122
1875075115554,1875073115554,1875.075115554,1875.073115554,-0.224,0.046,0.976,0.0,0.0,-0.122
1875085102395,1875083102395,1875.085102395,1875.083102395,-0.224,0.046,0.976,0.0,0.0,-0.122
1875095143777,1875093143777,1875.095143777,1875.093143777,-0.224,0.046,0.976,0.0,0.0,-0.122
1875105273533,1875103273533,1875.105273533,1875.103273533,-0.224,0.046,0.976,0.0,0.0,-0.122
1875116216737,1875114216737,1875.116216737,1875.114216737,-0.224,0.046,0.976,0.0,0.0,-0.122
1875126268619,1875124268619,1875.126268619,1875.124268619,-0.224,0.046,0.976,0.0,0.0,-0.122
1875137309822,1875135309822,1875.137309822,1875.135309822,-0.224,0.046,0.976,0.0,0.0,-0.122
1875147161332,1875145161332,1875.147161332,1875.145161332,-0.224,0.046,0.976,0.0,0.0,-0.122
1875157180547,1875155180547,1875.157180547,1875.155180547,-0.224,0.046,0.976,0.0,0.0,-0.122
1875167164763,1875165164763,1875.167164763,1875.165164763,-0.224,0.046,0.976,0.0,0.0,-0.122
1875178217633,1875176217633,1875.178217633,1875.176217633,-0.224,0.046,0.976,0.0,0.0,-0.122
1875188158099,1875186158099,1875.188158099,1875.186158099,-0.224,0.046,0.976,0.0,0.0,-0.122
1875198181398,1875196181398,1875.198181398,1875.196181398,-0.224,0.046,0.976,0.0,0.0,-0.122
1875208184572,1875206184572,1875.208184572,1875.206184572,-0.224,0.046,0.976,0.0,0.0,-0.122
1875218145163,1875216145163,1875.218145163,1875.216145163,-0.224,0.046,0.976,0.0,0.0,-0.122
1875229174408,1875227174408,1875.229174408,1875.227174408,-0.224,0.046,0.976,0.0,0.0,-0.122
1875239153957,1875237153957,1875.239153957,1875.237153957,-0.224,0.046,0.976,0.0,0.0,-0.122
1875249149840,1875247149840,1875.24914984,1875.24714984,-0.224,0.046,0.976,0.0,0.0,-0.122
1875259141347,1875257141347,1875.259141347,1875.257141347,-0.224,0.046,0.976,0.0,0.0,-0.122
1875270179925,1875268179925,1875.270179925,1875.268179925,-0.224,0.046,0.976,0.0,0.0,-0.122
1875280471554,1875278471554,1875.280471554,1875.278471554,-0.224,0.046,0.976,0.0,0.0,-0.122
1875290251606,1875288251606,1875.290251606,1875.288251606,-0.224,0.046,0.976,0.0,0.0,-0.122
1875300179156,1875298179156,1875.300179156,1875.298179156,-0.224,0.046,0.976,0.0,0.0,-0.122
1875310332411,1875308332411,1875.310332411,1875.308332411,-0.224,0.046,0.976,0.0,0.0,-0.122
1875321290199,1875319290199,1875.321290199,1875.319290199,-0.224,0.046,0.976,0.0,0.0,-0.122
1875331172624,1875329172624,1875.331172624,1875.329172624,-0.224,0.046,0.976,0.0,0.0,-0.122
1875341176965,1875339176965,1875.341176965,1875.339176965,-0.224,0.046,0.976,0.0,0.0,-0.122
1875351331804,1875349331804,1875.351331804,1875.349331804,-0.224,0.046,0.976,0.0,0.0,-0.122
1875362233884,1875360233884,1875.362233884,1875.360233884,-0.224,0.046,0.976,0.0,0.0,-0.122
1875372207308,1875370207308,1875.372207308,1875.370207308,-0.224,0.046,0.976,0.0,0.0,-0.122
1875382267648,1875380267648,1875.382267648,1875.380267648,-0.224,0.046,0.976,0.0,0.0,-0.122
1875393226019,1875391226019,1875.393226019,1875.391226019,-0.224,0.046,0.976,0.0,0.0,-0.122
1875403196527,1875401196527,1875.403196527,1875.401196527,-0.224,0.046,0.976,0.0,0.0,-0.122
1875413199409,1875411199409,1875.413199409,1875.411199409,-0.224,0.046,0.976,0.0,0.0,-0.122
1875423122959,1875421122959,1875.423122959,1875.421122959,-0.224,0.046,0.976,0.0,0.0,-0.122
1875433204882,1875431204882,1875.433204882,1875.431204882,-0.224,0.046,0.976,0.0,0.0,0.0
1875444191544,1875442191544,1875.444191544,1875.442191544,-0.224,0.046,0.976,0.0,0.0,-0.122
1875454167302,1875452167302,1875.454167302,1875.452167302,-0.224,0.046,0.976,0.0,0.0,-0.122
1875464164934,1875462164934,1875.464164934,1875.462164934,-0.224,0.046,0.976,0.0,0.0,-0.122
1875474166066,1875472166066,1875.474166066,1875.472166066,-0.224,0.046,0.976,0.0,0.0,-0.122
1875485187145,1875483187145,1875.485187145,1875.483187145,-0.224,0.046,0.976,0.0,0.0,-0.122
1875495184486,1875493184486,1875.495184486,1875.493184486,-0.224,0.046,0.976,0.0,0.0,-0.122
1875505161993,1875503161993,1875.505161993,1875.503161993,-0.224,0.046,0.976,0.0,0.0,-0.122
1875516164989,1875514164989,1875.516164989,1875.514164989,-0.224,0.046,0.976,0.0,0.0,-0.122
1875526161454,1875524161454,1875.526161454,1875.524161454,-0.224,0.046,0.976,0.0,0.0,-0.122
1875536186212,1875534186212,1875.536186212,1875.534186212,-0.224,0.046,0.976,0.0,0.0,-0.122
1875546207177,1875544207177,1875.546207177,1875.544207177,-0.224,0.046,0.976,0.0,0.0,-0.122
1875556168351,1875554168351,1875.556168351,1875.554168351,-0.224,0.046,0.976,0.0,0.0,-0.122
1875585159677,1875583159677,1875.585159677,1875.583159677,-0.224,0.046,0.976,0.0,0.0,-0.122
1875595166642,1875593166642,1875.595166642,1875.593166642,-0.224,0.046,0.976,0.0,0.0,-0.122
1875605164566,1875603164566,1875.605164566,1875.603164566,-0.224,0.046,0.976,0.0,0.0,-0.122
1875616192353,1875614192353,1875.616192353,1875.614192353,-0.224,0.046,0.976,0.0,0.0,0.0
1875626118236,1875624118236,1875.626118236,1875.624118236,-0.224,0.046,0.976,0.0,0.0,-0.122
1875636125202,1875634125202,1875.636125202,1875.634125202,-0.224,0.046,0.976,0.0,0.0,-0.122
1875646130709,1875644130709,1875.646130709,1875.644130709,-0.224,0.046,0.976,0.0,0.0,-0.122
1875656197466,1875654197466,1875.656197466,1875.654197466,-0.224,0.046,0.976,0.0,0.0,0.0
1875667164878,1875665164878,1875.667164878,1875.665164878,-0.224,0.046,0.976,0.0,0.0,-0.122
1875677199844,1875675199844,1875.677199844,1875.675199844,-0.224,0.046,0.976,0.0,0.0,-0.122
1875687166268,1875685166268,1875.687166268,1875.685166268,-0.224,0.046,0.976,0.0,0.0,-0.122
1875697189275,1875695189275,1875.697189275,1875.695189275,-0.224,0.046,0.976,0.0,0.0,-0.122
1875708231937,1875706231937,1875.708231937,1875.706231937,-0.224,0.046,0.976,0.0,0.0,-0.122
1875718528524,1875716528524,1875.718528524,1875.716528524,-0.224,0.046,0.976,0.0,0.0,-0.122
1875732850647,1875730850647,1875.732850647,1875.730850647,-0.224,0.046,0.976,0.0,0.0,-0.122
1875738059461,1875736059461,1875.738059461,1875.736059461,-0.224,0.046,0.976,0.0,0.0,-0.122
1875748158009,1875746158009,1875.748158009,1875.746158009,-0.224,0.046,0.976,0.0,0.0,-0.122
1875759163046,1875757163046,1875.759163046,1875.757163046,-0.224,0.046,0.976,0.0,0.0,-0.122
1875769188678,1875767188678,1875.769188678,1875.767188678,-0.224,0.046,0.976,0.0,0.0,-0.122
1875779171727,1875777171727,1875.779171727,1875.777171727,-0.224,0.046,0.976,0.0,0.0,-0.122
1875790485052,1875788485052,1875.790485052,1875.788485052,-0.224,0.046,0.976,0.0,0.0,-0.122
1875800467226,1875798467226,1875.800467226,1875.798467226,-0.224,0.046,0.976,0.0,0.0,-0.122
1875810179320,1875808179320,1875.81017932,1875.80817932,-0.224,0.046,0.976,0.0,0.0,-0.122
1875821113775,1875819113775,1875.821113775,1875.819113775,-0.224,0.046,0.976,0.0,0.0,-0.122
1875832176853,1875830176853,1875.832176853,1875.830176853,-0.224,0.046,0.976,0.0,0.0,-0.122
1875842157277,1875840157277,1875.842157277,1875.840157277,-0.224,0.046,0.976,0.0,0.0,-0.122
1875852171243,1875850171243,1875.852171243,1875.850171243,-0.224,0.046,0.976,0.0,0.0,-0.122
1875862158084,1875860158084,1875.862158084,1875.860158084,-0.224,0.046,0.976,0.0,0.0,-0.122
1875873187329,1875871187329,1875.873187329,1875.871187329,-0.224,0.046,0.976,0.0,0.0,-0.122
1875883170378,1875881170378,1875.883170378,1875.881170378,-0.224,0.046,0.976,0.0,0.0,-0.122
1875893113469,1875891113469,1875.893113469,1875.891113469,-0.224,0.046,0.976,0.0,0.0,-0.122
1875903167976,1875901167976,1875.903167976,1875.901167976,-0.224,0.046,0.976,0.0,0.0,-0.122
1875914112055,1875912112055,1875.914112055,1875.912112055,-0.224,0.046,0.976,0.0,0.0,-0.122
1875924158979,1875922158979,1875.924158979,1875.922158979,-0.224,0.046,0.976,0.0,0.0,-0.122
1875934267443,1875932267443,1875.934267443,1875.932267443,-0.224,0.046,0.976,0.0,0.0,-0.122
1875944265659,1875942265659,1875.944265659,1875.942265659,-0.224,0.046,0.976,0.0,0.0,-0.122
1875954285458,1875952285458,1875.954285458,1875.952285458,-0.224,0.046,0.976,0.0,0.0,-0.122
1875965285537,1875963285537,1875.965285537,1875.963285537,-0.224,0.046,0.976,0.0,0.0,-0.122
1875975333043,1875973333043,1875.975333043,1875.973333043,-0.224,0.046,0.976,0.0,0.0,-0.122
1875985265926,1875983265926,1875.985265926,1875.983265926,-0.224,0.046,0.976,0.0,0.0,-0.122
1875996321130,1875994321130,1875.99632113,1875.99432113,-0.224,0.046,0.976,0.0,0.0,-0.122
1876006268013,1876004268013,1876.006268013,1876.004268013,-0.224,0.046,0.976,0.0,0.0,-0.122
1876016289270,1876014289270,1876.01628927,1876.01428927,-0.224,0.046,0.976,0.0,0.0,-0.122
1876026261236,1876024261236,1876.026261236,1876.024261236,-0.224,0.046,0.976,0.0,0.0,-0.122
1876037261606,1876035261606,1876.037261606,1876.035261606,-0.224,0.046,0.976,0.0,0.0,-0.122
1876047188073,1876045188073,1876.047188073,1876.045188073,-0.224,0.046,0.976,0.0,0.0,-0.122
1876057191247,1876055191247,1876.057191247,1876.055191247,-0.224,0.046,0.976,0.0,0.0,-0.122
1876067204920,1876065204920,1876.06720492,1876.06520492,-0.224,0.046,0.976,0.0,0.0,-0.122
1876078151042,1876076151042,1876.078151042,1876.076151042,-0.224,0.046,0.976,0.0,0.0,-0.122
1876088155674,1876086155674,1876.088155674,1876.086155674,-0.224,0.046,0.976,0.0,0.0,-0.122
1876098156514,1876096156514,1876.098156514,1876.096156514,-0.224,0.046,0.976,0.0,0.0,-0.122
1876108148314,1876106148314,1876.108148314,1876.106148314,-0.224,0.046,0.976,0.0,0.0,0.0
1876119106393,1876117106393,1876.119106393,1876.117106393,-0.224,0.046,0.976,0.0,0.0,-0.122
1876129200566,1876127200566,1876.129200566,1876.127200566,-0.224,0.046,0.976,0.0,0.0,-0.122
1876139273739,1876137273739,1876.139273739,1876.137273739,-0.224,0.046,0.976,0.0,0.0,-0.122
1876150713063,1876148713063,1876.150713063,1876.148713063,-0.224,0.046,0.976,0.0,0.0,-0.122
1876160191534,1876158191534,1876.160191534,1876.158191534,-0.224,0.046,0.976,0.0,0.0,-0.122
1876170308749,1876168308749,1876.170308749,1876.168308749,-0.224,0.046,0.976,0.0,0.0,-0.122
1876180310464,1876178310464,1876.180310464,1876.178310464,-0.224,0.046,0.976,0.0,0.0,-0.122
1876191277877,1876189277877,1876.191277877,1876.189277877,-0.224,0.046,0.976,0.0,0.0,-0.122
1876201241093,1876199241093,1876.201241093,1876.199241093,-0.224,0.046,0.976,0.0,0.0,-0.122
1876211273142,1876209273142,1876.211273142,1876.209273142,-0.224,0.046,0.976,0.0,0.0,0.0
1876222162097,1876220162097,1876.222162097,1876.220162097,-0.224,0.046,0.976,0.0,0.0,-0.122
1876232151854,1876230151854,1876.232151854,1876.230151854,-0.224,0.046,0.976,0.0,0.0,-0.122
1876242126445,1876240126445,1876.242126445,1876.240126445,-0.224,0.046,0.976,0.0,0.0,-0.122
1876252155577,1876250155577,1876.252155577,1876.250155577,-0.224,0.046,0.976,0.0,-0.244,-0.122
1876263175197,1876261175197,1876.263175197,1876.261175197,-0.224,0.046,0.976,0.0,-0.244,-0.122
1876273138705,1876271138705,1876.273138705,1876.271138705,-0.224,0.046,0.976,0.0,-0.183,-0.122
1876283107171,1876281107171,1876.283107171,1876.281107171,-0.224,0.046,0.976,0.0,-0.122,-0.122
1876293161386,1876291161386,1876.293161386,1876.291161386,-0.224,0.046,0.976,0.0,-0.061,-0.122
