MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
3267208113558,3267206113558,3267.208113558,3267.206113558,-0.196,0.046,0.983,-0.671,-16.846,0.671
3267225045484,3267223045484,3267.225045484,3267.223045484,-0.196,0.046,0.983,-0.427,-11.902,0.427
3267238728865,3267236728865,3267.238728865,3267.236728865,-0.196,0.046,0.983,-0.305,-7.874,0.183
3267243819263,3267241819263,3267.243819263,3267.241819263,-0.196,0.046,0.983,-0.122,-3.906,0.0
3267256748111,3267254748111,3267.256748111,3267.254748111,-0.196,0.046,0.983,0.061,1.465,-0.183
3267266654453,3267264654453,3267.266654453,3267.264654453,-0.196,0.046,0.983,0.244,5.798,-0.366
3267276652086,3267274652086,3267.276652086,3267.274652086,-0.196,0.046,0.983,0.427,10.62,-0.427
3267286637760,3267284637760,3267.28663776,3267.28463776,-0.136,0.044,0.989,0.61,15.015,-0.793
3267297635214,3267295635214,3267.297635214,3267.295635214,-0.136,0.044,0.989,0.793,19.348,-1.038
3267307633430,3267305633430,3267.30763343,3267.30563343,-0.136,0.044,0.989,0.977,23.56,-1.221
3267317633979,3267315633979,3267.317633979,3267.315633979,-0.136,0.044,0.989,1.099,27.893,-1.404
3267327632778,3267325632778,3267.327632778,3267.325632778,-0.136,0.044,0.989,1.343,32.898,-1.709
3267338593483,3267336593483,3267.338593483,3267.336593483,-0.136,0.044,0.989,1.587,37.476,-1.953
3267348651490,3267346651490,3267.34865149,3267.34665149,-0.136,0.044,0.989,1.77,41.809,-2.197
3267358711247,3267356711247,3267.358711247,3267.356711247,-0.136,0.044,0.989,1.953,45.776,-2.441
3267368640630,3267366640630,3267.36864063,3267.36664063,-0.136,0.044,0.989,2.075,49.316,-2.625
3267379629626,3267377629626,3267.379629626,3267.377629626,-0.136,0.044,0.989,2.136,51.636,-2.747
3267389629300,3267387629300,3267.3896293,3267.3876293,-0.136,0.044,0.989,2.258,53.04,-2.869
3267399676807,3267397676807,3267.399676807,3267.397676807,-0.136,0.044,0.989,2.197,53.284,-2.869
3267409669773,3267407669773,3267.409669773,3267.407669773,-0.136,0.044,0.989,2.136,51.453,-2.686
3267420629894,3267418629894,3267.420629894,3267.418629894,-0.135,0.044,0.988,1.77,46.631,-2.014
3267430635985,3267428635985,3267.430635985,3267.428635985,-0.135,0.044,0.988,1.465,39.49,-1.282
3267440648492,3267438648492,3267.440648492,3267.438648492,-0.135,0.044,0.988,1.16,30.701,-0.671
3267450644667,3267448644667,3267.450644667,3267.448644667,-0.135,0.044,0.988,0.732,19.104,0.0
3267460663007,3267458663007,3267.460663007,3267.458663007,-0.135,0.044,0.988,0.122,7.141,0.244
3267471659295,3267469659295,3267.471659295,3267.469659295,-0.135,0.044,0.988,-0.366,-4.578,0.488
3267481650219,3267479650219,3267.481650219,3267.479650219,-0.135,0.044,0.988,-0.671,-14.465,0.549
3267491701226,3267489701226,3267.491701226,3267.489701226,-0.135,0.044,0.988,-0.732,-22.644,0.488
3267501658317,3267499658317,3267.501658317,3267.499658317,-0.135,0.044,0.988,-0.854,-30.518,0.671
3267512638272,3267510638272,3267.512638272,3267.510638272,-0.135,0.044,0.988,-1.16,-37.354,1.221
3267522639988,3267520639988,3267.522639988,3267.520639988,-0.135,0.044,0.988,-1.526,-43.335,1.709
3267532633828,3267530633828,3267.532633828,3267.530633828,-0.135,0.044,0.988,-1.831,-47.729,2.075
3267542594711,3267540594711,3267.542594711,3267.540594711,-0.238,0.046,0.977,-2.014,-50.659,2.197
3267553637957,3267551637957,3267.553637957,3267.551637957,-0.238,0.046,0.977,-2.075,-51.941,2.258
3267563666214,3267561666214,3267.563666214,3267.561666214,-0.238,0.046,0.977,-2.136,-52.063,2.319
3267573641680,3267571641680,3267.57364168,3267.57164168,-0.238,0.046,0.977,-2.136,-51.025,2.319
3267583641646,3267581641646,3267.583641646,3267.581641646,-0.238,0.046,0.977,-2.014,-48.34,2.258
3267594630933,3267592630933,3267.594630933,3267.592630933,-0.238,0.046,0.977,-1.892,-44.495,2.136
3267604684274,3267602684274,3267.604684274,3267.602684274,-0.238,0.046,0.977,-1.709,-39.429,1.892
3267614629115,3267612629115,3267.614629115,3267.612629115,-0.238,0.046,0.977,-1.404,-33.203,1.587
3267624631998,3267622631998,3267.624631998,3267.622631998,-0.238,0.046,0.977,-1.038,-25.208,1.343
3267634635464,3267632635464,3267.634635464,3267.632635464,-0.238,0.046,0.977,-0.732,-17.029,0.793
3267645631751,3267643631751,3267.645631751,3267.643631751,-0.238,0.046,0.977,-0.366,-8.301,0.305
3267655690050,3267653690050,3267.65569005,3267.65369005,-0.238,0.046,0.977,0.0,0.671,-0.061
3267665678349,3267663678349,3267.665678349,3267.663678349,-0.238,0.046,0.977,0.366,9.705,-0.549
3267675672481,3267673672481,3267.675672481,3267.673672481,-0.181,0.045,0.983,0.793,19.226,-1.038
3267686652436,3267684652436,3267.686652436,3267.684652436,-0.181,0.045,0.983,1.16,27.039,-1.465
3267696640152,3267694640152,3267.696640152,3267.694640152,-0.181,0.045,0.983,1.465,33.813,-1.831
3267706657909,3267704657909,3267.706657909,3267.704657909,-0.181,0.045,0.983,1.709,39.246,-2.197
3267716636584,3267714636584,3267.716636584,3267.714636584,-0.181,0.045,0.983,1.892,43.457,-2.258
3267726635383,3267724635383,3267.726635383,3267.724635383,-0.181,0.045,0.983,2.014,45.41,-2.625
3267737632545,3267735632545,3267.737632545,3267.735632545,-0.181,0.045,0.983,2.014,45.227,-2.625
3267747644469,3267745644469,3267.747644469,3267.745644469,-0.181,0.045,0.983,1.892,42.786,-2.441
3267757637435,3267755637435,3267.757637435,3267.755637435,-0.181,0.045,0.983,1.648,37.903,-1.953
3267767671526,3267765671526,3267.767671526,3267.765671526,-0.181,0.045,0.983,1.404,31.799,-1.77
3267778637189,3267776637189,3267.778637189,3267.776637189,-0.181,0.045,0.983,1.038,24.536,-1.404
3267788625779,3267786625779,3267.788625779,3267.786625779,-0.181,0.045,0.983,0.732,16.479,-0.977
3267798633329,3267796633329,3267.798633329,3267.796633329,-0.142,0.045,0.986,0.366,8.118,-0.549
3267809626116,3267807626116,3267.809626116,3267.807626116,-0.142,0.045,0.986,0.0,-0.916,-0.122
3267819584082,3267817584082,3267.819584082,3267.817584082,-0.142,0.045,0.986,-0.305,-8.606,0.183
3267829650256,3267827650256,3267.829650256,3267.827650256,-0.142,0.045,0.986,-0.549,-15.503,0.549
3267839632722,3267837632722,3267.839632722,3267.837632722,-0.142,0.045,0.986,-0.793,-21.545,0.793
3267849644938,3267847644938,3267.849644938,3267.847644938,-0.142,0.045,0.986,-1.038,-27.222,1.099
3267860650558,3267858650558,3267.860650558,3267.858650558,-0.142,0.045,0.986,-1.221,-31.677,1.343
3267870642066,3267868642066,3267.870642066,3267.868642066,-0.142,0.045,0.986,-1.404,-35.4,1.526
