EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
3267.206113558,-0.196,0.046,0.983,-0.671,-16.846,0.671,0.0,N/A
3267.223045484,-0.196,0.046,0.983,-0.427,-11.902,0.427,0.0,N/A
3267.236728865,-0.196,0.046,0.983,-0.305,-7.874,0.183,0.0,N/A
3267.241819263,-0.196,0.046,0.983,-0.122,-3.906,0.0,0.0,N/A
3267.254748111,-0.196,0.046,0.983,0.061,1.465,-0.183,0.0,N/A
3267.264654453,-0.196,0.046,0.983,0.244,5.798,-0.366,0.0,N/A
3267.274652086,-0.196,0.046,0.983,0.427,10.62,-0.427,0.0,N/A
3267.28463776,-0.136,0.044,0.989,0.61,15.015,-0.793,0.0,N/A
3267.295635214,-0.136,0.044,0.989,0.793,19.348,-1.038,0.0,N/A
3267.30563343,-0.136,0.044,0.989,0.977,23.56,-1.221,0.0,N/A
3267.315633979,-0.136,0.044,0.989,1.099,27.893,-1.404,0.0,N/A
3267.325632778,-0.136,0.044,0.989,1.343,32.898,-1.709,0.0,N/A
3267.336593483,-0.136,0.044,0.989,1.587,37.476,-1.953,0.0,N/A
3267.34665149,-0.136,0.044,0.989,1.77,41.809,-2.197,0.0,N/A
3267.356711247,-0.136,0.044,0.989,1.953,45.776,-2.441,0.0,N/A
3267.36664063,-0.136,0.044,0.989,2.075,49.316,-2.625,0.0,N/A
3267.377629626,-0.136,0.044,0.989,2.136,51.636,-2.747,0.0,N/A
3267.3876293,-0.136,0.044,0.989,2.258,53.04,-2.869,0.0,N/A
3267.397676807,-0.136,0.044,0.989,2.197,53.284,-2.869,0.0,N/A
3267.407669773,-0.136,0.044,0.989,2.136,51.453,-2.686,0.0,N/A
3267.418629894,-0.135,0.044,0.988,1.77,46.631,-2.014,0.0,N/A
3267.428635985,-0.135,0.044,0.988,1.465,39.49,-1.282,0.0,N/A
3267.438648492,-0.135,0.044,0.988,1.16,30.701,-0.671,0.0,N/A
3267.448644667,-0.135,0.044,0.988,0.732,19.104,0.0,0.0,N/A
3267.458663007,-0.135,0.044,0.988,0.122,7.141,0.244,0.0,N/A
3267.469659295,-0.135,0.044,0.988,-0.366,-4.578,0.488,0.0,N/A
3267.479650219,-0.135,0.044,0.988,-0.671,-14.465,0.549,0.0,N/A
3267.489701226,-0.135,0.044,0.988,-0.732,-22.644,0.488,0.0,N/A
3267.499658317,-0.135,0.044,0.988,-0.854,-30.518,0.671,0.0,N/A
3267.510638272,-0.135,0.044,0.988,-1.16,-37.354,1.221,0.0,N/A
3267.520639988,-0.135,0.044,0.988,-1.526,-43.335,1.709,0.0,N/A
3267.530633828,-0.135,0.044,0.988,-1.831,-47.729,2.075,0.0,N/A
3267.540594711,-0.238,0.046,0.977,-2.014,-50.659,2.197,0.0,N/A
3267.551637957,-0.238,0.046,0.977,-2.075,-51.941,2.258,0.0,N/A
3267.561666214,-0.238,0.046,0.977,-2.136,-52.063,2.319,0.0,N/A
3267.57164168,-0.238,0.046,0.977,-2.136,-51.025,2.319,0.0,N/A
3267.581641646,-0.238,0.046,0.977,-2.014,-48.34,2.258,0.0,N/A
3267.592630933,-0.238,0.046,0.977,-1.892,-44.495,2.136,0.0,N/A
3267.602684274,-0.238,0.046,0.977,-1.709,-39.429,1.892,0.0,N/A
3267.612629115,-0.238,0.046,0.977,-1.404,-33.203,1.587,0.0,N/A
3267.622631998,-0.238,0.046,0.977,-1.038,-25.208,1.343,0.0,N/A
3267.632635464,-0.238,0.046,0.977,-0.732,-17.029,0.793,0.0,N/A
3267.643631751,-0.238,0.046,0.977,-0.366,-8.301,0.305,0.0,N/A
3267.65369005,-0.238,0.046,0.977,0.0,0.671,-0.061,0.0,N/A
3267.663678349,-0.238,0.046,0.977,0.366,9.705,-0.549,0.0,N/A
3267.673672481,-0.181,0.045,0.983,0.793,19.226,-1.038,0.0,N/A
3267.684652436,-0.181,0.045,0.983,1.16,27.039,-1.465,0.0,N/A
3267.694640152,-0.181,0.045,0.983,1.465,33.813,-1.831,0.0,N/A
3267.704657909,-0.181,0.045,0.983,1.709,39.246,-2.197,0.0,N/A
3267.714636584,-0.181,0.045,0.983,1.892,43.457,-2.258,0.0,N/A
3267.724635383,-0.181,0.045,0.983,2.014,45.41,-2.625,0.0,N/A
3267.735632545,-0.181,0.045,0.983,2.014,45.227,-2.625,0.0,N/A
3267.745644469,-0.181,0.045,0.983,1.892,42.786,-2.441,0.0,N/A
3267.755637435,-0.181,0.045,0.983,1.648,37.903,-1.953,0.0,N/A
3267.765671526,-0.181,0.045,0.983,1.404,31.799,-1.77,0.0,N/A
3267.776637189,-0.181,0.045,0.983,1.038,24.536,-1.404,0.0,N/A
3267.786625779,-0.181,0.045,0.983,0.732,16.479,-0.977,0.0,N/A
3267.796633329,-0.142,0.045,0.986,0.366,8.118,-0.549,0.0,N/A
3267.807626116,-0.142,0.045,0.986,0.0,-0.916,-0.122,0.0,N/A
3267.817584082,-0.142,0.045,0.986,-0.305,-8.606,0.183,0.0,N/A
3267.827650256,-0.142,0.045,0.986,-0.549,-15.503,0.549,0.0,N/A
3267.837632722,-0.142,0.045,0.986,-0.793,-21.545,0.793,0.0,N/A
3267.847644938,-0.142,0.045,0.986,-1.038,-27.222,1.099,0.0,N/A
3267.858650558,-0.142,0.045,0.986,-1.221,-31.677,1.343,0.0,N/A
3267.868642066,-0.142,0.045,0.986,-1.404,-35.4,1.526,0.0,N/A
3267.878624532,-0.142,0.045,0.986,-1.526,-38.391,1.709,0.0,N/A
3267.888631206,-0.142,0.045,0.986,-1.709,-40.71,1.831,0.0,N/A
3267.899677951,-0.142,0.045,0.986,-1.77,-41.504,1.953,0.0,N/A
3267.909624543,-0.142,0.045,0.986,-1.77,-40.894,1.953,0.0,N/A
3267.919655133,-0.21,0.046,0.983,-1.648,-38.94,1.892,0.0,N/A
3267.929631766,-0.21,0.046,0.983,-1.465,-35.217,1.77,0.0,N/A
3267.940646137,-0.21,0.046,0.983,-1.282,-30.334,1.526,0.0,N/A
3267.950576395,-0.21,0.046,0.983,-1.038,-24.109,1.221,0.0,N/A
3267.960631194,-0.21,0.046,0.983,-0.732,-16.418,0.854,0.0,N/A
3267.970633201,-0.21,0.046,0.983,-0.244,-6.592,0.488,0.0,N/A
3267.981854361,-0.21,0.046,0.983,0.122,2.991,-0.183,0.0,N/A
3267.992358613,-0.21,0.046,0.983,0.549,12.573,-0.671,0.0,N/A
3268.002722574,-0.21,0.046,0.983,0.977,22.339,-1.221,0.0,N/A
3268.012905121,-0.21,0.046,0.983,1.282,30.09,-1.648,0.0,N/A
3268.022856088,-0.21,0.046,0.983,1.587,37.17,-2.075,0.0,N/A
3268.033880083,-0.21,0.046,0.983,1.831,42.175,-2.38,0.0,N/A
3268.043836591,-0.21,0.046,0.983,2.014,45.593,-2.563,0.0,N/A
3268.05384414,-0.131,0.044,0.987,2.075,47.119,-2.747,0.0,N/A
3268.063889606,-0.131,0.044,0.987,2.014,46.326,-2.686,0.0,N/A
3268.074860227,-0.131,0.044,0.987,1.892,43.396,-2.502,0.0,N/A
3268.084847068,-0.131,0.044,0.987,1.709,38.33,-2.197,0.0,N/A
3268.094843534,-0.131,0.044,0.987,1.404,31.433,-1.77,0.0,N/A
3268.104840875,-0.131,0.044,0.987,0.977,22.034,-1.282,0.0,N/A
3268.115832204,-0.131,0.044,0.987,0.549,12.512,-0.793,0.0,N/A
3268.126089708,-0.131,0.044,0.987,0.183,2.686,-0.305,0.0,N/A
3268.136042133,-0.131,0.044,0.987,-0.244,-8.118,0.183,0.0,N/A
3268.147136128,-0.131,0.044,0.987,-0.671,-17.395,0.671,0.0,N/A
3268.156852013,-0.131,0.044,0.987,-1.038,-25.574,1.099,0.0,N/A
3268.166718106,-0.131,0.044,0.987,-1.343,-33.02,1.587,0.0,N/A
3268.177652269,-0.182,0.045,0.985,-1.587,-38.33,1.709,0.0,N/A
3268.187639985,-0.182,0.045,0.985,-1.77,-42.236,1.892,0.0,N/A
3268.197662409,-0.182,0.045,0.985,-1.892,-44.556,2.014,0.0,N/A
3268.207633792,-0.182,0.045,0.985,-1.953,-45.105,2.136,0.0,N/A
3268.21867937,-0.182,0.045,0.985,-1.892,-43.518,2.136,0.0,N/A
3268.228749044,-0.182,0.045,0.985,-1.77,-39.978,2.075,0.0,N/A
3268.238744343,-0.182,0.045,0.985,-1.526,-34.546,1.831,0.0,N/A
3268.248695893,-0.182,0.045,0.985,-1.16,-26.306,1.465,0.0,N/A
3268.259688972,-0.182,0.045,0.985,-0.732,-16.785,0.977,0.0,N/A
3268.269684563,-0.182,0.045,0.985,-0.244,-5.615,0.366,0.0,N/A
3268.27971807,-0.182,0.045,0.985,0.183,6.348,-0.244,0.0,N/A
3268.289686536,-0.182,0.045,0.985,0.793,19.653,-0.977,0.0,N/A
3268.300724823,-0.168,0.045,0.986,1.282,31.189,-1.587,0.0,N/A
3268.310692123,-0.168,0.045,0.986,1.77,41.687,-2.197,0.0,N/A
3268.320668464,-0.168,0.045,0.986,2.197,50.781,-2.747,0.0,N/A
3268.330691763,-0.168,0.045,0.986,2.563,58.594,-3.174,0.0,N/A
3268.34170205,-0.168,0.045,0.986,2.747,63.354,-3.54,0.0,N/A
3268.351687141,-0.168,0.045,0.986,2.869,65.674,-3.662,0.0,N/A
3268.361693232,-0.168,0.045,0.986,2.808,65.247,-3.662,0.0,N/A
3268.371685031,-0.168,0.045,0.986,2.625,61.279,-3.357,0.0,N/A
3268.38270261,-0.168,0.045,0.986,2.258,53.223,-2.502,0.0,N/A
3268.392680701,-0.168,0.045,0.986,1.648,41.565,-1.587,0.0,N/A
3268.402681251,-0.168,0.045,0.986,1.099,27.71,-0.916,0.0,N/A
3268.412685008,-0.168,0.045,0.986,0.427,10.864,-0.427,0.0,N/A
3268.42368217,-0.168,0.045,0.986,-0.061,-4.517,-0.061,0.0,N/A
