EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
1786.861571935,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.87238408,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.887965166,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.9059752,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.912675515,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.92369174,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.933576405,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.943538859,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.953528814,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.963569809,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.974564825,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.984709651,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1786.994647398,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.004565604,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.017237668,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.032485094,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.039776897,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.049765685,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1787.060775868,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.070817154,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.080681111,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.091243887,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.100630979,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.111613454,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.121645116,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.13164557,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.141663815,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.151561605,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.16164314,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1787.172764446,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.182790274,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.19270673,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.202772808,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.212771512,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1787.223680197,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.233659943,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.243750812,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.253746891,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.26375347,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1787.274710571,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.28479619,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.294790227,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.304788931,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.314741553,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.332045477,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.337056204,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.346843162,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.356963614,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.367670345,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.377552676,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.387544964,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.397491753,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.407536539,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.417494702,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.427537156,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.437492111,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1787.448535834,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.45853308,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.468534118,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.478534863,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.488531526,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.498531397,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.508530393,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.518530555,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.528535384,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.538597087,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.548536001,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.559534808,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.569537013,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.579531342,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.589528879,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.599564333,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.609547287,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.619529658,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.629533904,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.639551858,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.649532771,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.659589223,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.669550887,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.680554945,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.690497358,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.700540103,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.710532682,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.720515929,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.730516674,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.740491754,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.750514958,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
1787.761583764,-0.224,0.046,0.976,0.0,0.0,0.0,0.0,N/A
1787.771576343,-0.224,0.046,0.976,0.0,0.0,-0.122,0.0,N/A
